Reef_id,site_id,site_name,site_latitude,site_longitude,survey_start_date,Year,survey_depth,transect_id,type,GROUP,COUNT,TOTAL
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36095,point_machine_classification,HC,7,45
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36091,point_human_classification,HC,18,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36091,point_machine_classification,HC,16,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36092,point_human_classification,HC,17,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36092,point_machine_classification,HC,14,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36093,point_human_classification,HC,9,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36093,point_machine_classification,HC,12,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36094,point_human_classification,HC,16,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36094,point_machine_classification,HC,18,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36095,point_human_classification,HC,11,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36095,point_machine_classification,HC,10,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36071,point_human_classification,HC,24,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36071,point_machine_classification,HC,26,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36072,point_human_classification,HC,32,100
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36072,point_machine_classification,HC,25,100
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36073,point_human_classification,HC,25,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36073,point_machine_classification,HC,12,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36074,point_human_classification,HC,32,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36074,point_machine_classification,HC,28,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36075,point_human_classification,HC,17,90
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36075,point_machine_classification,HC,17,90
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36191,point_human_classification,HC,9,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36191,point_machine_classification,HC,8,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36192,point_human_classification,HC,4,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36192,point_machine_classification,HC,7,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36193,point_human_classification,HC,21,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36193,point_machine_classification,HC,19,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36194,point_human_classification,HC,11,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36194,point_machine_classification,HC,11,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36195,point_human_classification,HC,9,65
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36195,point_machine_classification,HC,10,65
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36191,point_human_classification,HC,16,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36191,point_machine_classification,HC,16,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36192,point_human_classification,HC,7,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36192,point_machine_classification,HC,10,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36193,point_human_classification,HC,15,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36193,point_machine_classification,HC,17,60
